,Player,No. of Championships,mvp_count,WS/48,PPG,fmvp_count,G,MPG,RPG,APG,PER,BPM,VORP,No. of All Star Selections,All_NBA,SPG,BPG,midpoint,scaled_championships,scaled_reg_mvp,scaled_per,scaled_vorp,scaled_bpm,scaled_ws,scaled_all_star,scaled_ppg,scaled_gp,scaled_mpg,scaled_rpg,scaled_apg,scaled_fin_mvp,scaled_anba,scaled_spg,scaled_bpg,GOAT_SCORE
23,James Harden,0.0,1.0,0.2258,25.09,0.0,0.0,34.32,0.0,6.29,24.75,6.88,63.56,8.0,6.0,1.57,0.0,3000.0,0.0,0.16666666666666666,0.8867789322823362,0.4770339237466226,0.7462039045553145,0.9013972055888223,0.42105263157894735,0.8330013280212483,0.0,0.8346303501945526,0.0,0.5621090259159964,0.0,0.4,0.5793357933579336,0.0,34.26339177822995
24,Robert Parish,4.0,0.0,0.1544,0.0,0.0,1611.0,0.0,9.13,0.0,19.22,1.52,40.68,9.0,2.0,0.0,1.47,1987.0,0.5714285714285714,0.0,0.6886420637764242,0.30531371960372256,0.16485900216919738,0.6163672654690618,0.47368421052631576,0.0,1.0,0.0,0.6596820809248556,0.0,0.0,0.13333333333333333,0.0,0.42,34.04323188340552
25,Dennis Rodman,5.0,0.0,0.1495,0.0,0.0,911.0,31.66,13.12,0.0,0.0,0.89,21.02,2.0,2.0,0.0,0.0,1993.5,0.7142857142857142,0.0,0.0,0.1577604323026118,0.096529284164859,0.5968063872255488,0.10526315789473684,0.0,0.5654872749844817,0.7699416342412452,0.9479768786127167,0.0,0.0,0.13333333333333333,0.0,0.0,34.015840082006264
26,Kevin McHale,3.0,0.0,0.1802,17.85,0.0,971.0,0.0,7.33,0.0,20.02,2.51,34.29,7.0,1.0,0.0,1.74,1987.0,0.42857142857142855,0.0,0.7173056252239342,0.2573551486040228,0.27223427331887196,0.7193612774451097,0.3684210526315789,0.5926294820717132,0.6027312228429547,0.0,0.5296242774566474,0.0,0.0,0.06666666666666667,0.0,0.4971428571428571,33.62456064820094
27,Clyde Drexler,1.0,0.0,0.1734,20.44,0.0,1086.0,34.56,0.0,5.64,21.07,5.42,70.22,10.0,5.0,2.03,0.0,1991.0,0.14285714285714285,0.0,0.7549265496237908,0.5270189132392674,0.5878524945770064,0.6922155688622754,0.5263157894736842,0.6786188579017264,0.6741154562383612,0.8404669260700389,0.0,0.5040214477211796,0.0,0.3333333333333333,0.7490774907749077,0.0,33.59773513300975
28,Anthony Davis,0.0,0.0,0.2194,24.04,0.0,0.0,34.54,10.41,0.0,27.5,6.31,37.71,7.0,3.0,1.38,2.41,3000.0,0.0,0.0,0.9853099247581513,0.2830231161813269,0.6843817787418653,0.8758483033932136,0.3684210526315789,0.798140770252324,0.0,0.8399805447470817,0.7521676300578035,0.0,0.0,0.2,0.5092250922509225,0.6885714285714286,33.04859710797724
29,Bob McAdoo,2.0,1.0,0.1509,22.05,0.0,0.0,33.25,9.45,0.0,20.73,2.16,27.15,5.0,2.0,0.0,1.49,1979.5,0.2857142857142857,0.16666666666666666,0.7427445360085991,0.20376763734614226,0.23427331887201736,0.6023952095808384,0.2631578947368421,0.7320717131474104,0.0,0.8086089494163424,0.6828034682080925,0.0,0.0,0.13333333333333333,0.0,0.4257142857142857,33.04768596580719
30,Kawhi Leonard,2.0,0.0,0.2195,18.57,2.0,0.0,0.0,0.0,0.0,23.02,6.81,35.71,4.0,3.0,1.78,0.0,3000.0,0.2857142857142857,0.0,0.8247939806520961,0.2680126088261783,0.7386117136659435,0.8762475049900199,0.21052631578947367,0.6165338645418327,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.6568265682656826,0.0,32.44102386850752
31,Russell Westbrook,0.0,1.0,0.1608,23.24,0.0,0.0,34.59,7.08,8.31,23.54,4.85,52.15,9.0,8.0,1.75,0.0,3000.0,0.0,0.16666666666666666,0.8434252955929775,0.3913989792854998,0.5260303687635574,0.6419161676646706,0.47368421052631576,0.7715803452855244,0.0,0.8411964980544748,0.5115606936416185,0.7426273458445041,0.0,0.5333333333333333,0.6457564575645757,0.0,32.41311464261646
32,John Stockton,0.0,0.0,0.2087,0.0,0.0,1504.0,31.76,0.0,10.51,21.83,6.83,106.5,10.0,11.0,2.17,0.0,1994.0,0.0,0.0,0.7821569329989251,0.799309516661663,0.7407809110629067,0.8331337325349301,0.5263157894736842,0.0,0.9335816263190565,0.7723735408560312,0.0,0.9392314566577301,0.0,0.7333333333333333,0.8007380073800737,0.0,32.22790773589546
33,James Worthy,3.0,0.0,0.13,17.62,1.0,926.0,32.4,0.0,0.0,17.73,1.86,29.17,7.0,2.0,1.12,0.0,1988.5,0.42857142857142855,0.0,0.6352561805804372,0.21892824977484238,0.2017353579175705,0.5189620758483033,0.3684210526315789,0.5849933598937583,0.5747982619490999,0.7879377431906615,0.0,0.0,0.16666666666666666,0.13333333333333333,0.4132841328413285,0.0,31.961746967552713
34,Artis Gilmore,0.0,0.0,0.1931,18.77,0.0,1329.0,35.47,12.29,0.0,21.4,3.13,51.63,11.0,5.0,0.0,2.39,1982.5,0.0,0.0,0.7667502687208886,0.3874962473731612,0.3394793926247288,0.7708582834331337,0.5789473684210527,0.6231739707835325,0.8249534450651769,0.8625972762645914,0.8880057803468208,0.0,0.0,0.3333333333333333,0.0,0.6828571428571428,31.24102243130044
35,Horace Grant,4.0,0.0,0.1469,0.0,0.0,1165.0,33.15,8.11,0.0,0.0,1.39,33.05,1.0,0.0,0.0,0.98,1996.0,0.5714285714285714,0.0,0.0,0.24804863404383062,0.15075921908893708,0.5864271457085828,0.05263157894736842,0.0,0.723153320918684,0.8061770428015564,0.5859826589595376,0.0,0.0,0.0,0.0,0.27999999999999997,31.201287277005544
36,Allen Iverson,0.0,1.0,0.1264,26.66,0.0,914.0,41.12,0.0,6.15,20.92,3.24,49.66,11.0,7.0,2.17,0.0,2003.5,0.0,0.16666666666666666,0.7495521318523828,0.37271089762833975,0.351409978308026,0.5045908183632735,0.5789473684210527,0.8851261620185923,0.5673494723774053,1.0,0.0,0.5495978552278821,0.0,0.4666666666666667,0.8007380073800737,0.0,31.1569531585582
