,Player,scaled_championships,scaled_reg_mvp,scaled_ws,scaled_ppg,scaled_fin_mvp,scaled_gp,scaled_mpg,scaled_rpg,scaled_apg,scaled_per,scaled_bpm,scaled_vorp,scaled_all_star,scaled_anba,GOAT SCORE,GOAT SCORE2
442,Johnny Dawkins,0,0,0,0,0,0,0,0,0.239569314,0,0,0,0,0,0.01209825,0.012816958
454,Antonio McDyess,0,0,0,0,0,0.16056338,0,0.038798498,0,0.036837376,0,0,0,0,0.011419707,0.01281348
486,Corey Maggette,0,0,0.028503563,0.022774327,0,0,0,0,0,0.098831986,0,0,0,0,0.008674236,0.012773919
443,Kenny Smith,0,0,0,0,0,0,0,0,0.238223419,0,0,0,0,0,0.012030283,0.012744953
444,Arnie Risen,0,0,0,0,0,0,0,0.176470588,0,0,0,0,0.166666667,0,0.012028431,0.012741176
445,Brad Davis,0,0,0,0,0,0.084507042,0,0,0.153432032,0,0,0,0,0,0.012015923,0.01272974
390,Gordon Hayward,0,0,0.046714173,0,0,0,0,0,0,0.06918239,0.171597633,0.031263457,0,0,0.015613054,0.012722169
446,Jay Humphries,0,0,0,0,0,0,0,0,0.235531629,0,0,0,0,0,0.011894347,0.012600942
400,Danny Ainge,0,0,0,0,0,0.198591549,0,0,0.036339166,0,0.04260355,0.041340109,0,0,0.014944733,0.012568793
447,Marvin Williams,0,0,0,0,0,0.232394366,0,0,0,0,0,0,0,0,0.011735915,0.012433099
448,Jerry Sloan,0,0,0,0,0,0,0.177339901,0.033166458,0,0,0,0,0.055555556,0,0.01166946,0.01236209
449,Tyrone Corbin,0,0,0,0,0,0.230985915,0,0,0,0,0,0,0,0,0.011664789,0.012357746
451,Bob Davies,0,0,0,0,0,0,0,0,0.149394347,0,0,0,0.166666667,0.285714286,0.011603938,0.012292598
428,Trevor Ariza,0,0,0,0,0,0.229577465,0,0,0,0,0,0.03987598,0,0,0.01305711,0.012282394
452,Boris Diaw,0,0,0,0,0,0.229577465,0,0,0,0,0,0,0,0,0.011593662,0.012282394
453,Gary Grant,0,0,0,0,0,0,0,0,0.228802153,0,0,0,0,0,0.011554509,0.012240915
379,Don Buse,0,0,0,0,0,0.091549296,0,0,0.110363392,0,0.107692308,0.050211007,0.055555556,0,0.017030531,0.011902329
456,Olden Polynice,0,0,0,0,0,0.221126761,0,0,0,0,0,0,0,0,0.011166901,0.011830282
457,Wayne Embry,0,0,0,0,0,0,0,0.135794743,0,0,0,0,0.222222222,0,0.01101319,0.011665019
459,Willie Naulls,0,0,0,0.011042098,0,0,0,0.136420526,0,0,0,0,0.166666667,0,0.010787684,0.01142776
458,Gene Shue,0,0,0,0,0,0,0.126671358,0,0,0,0,0,0.222222222,0.071428571,0.010788173,0.011426918
460,Glen Combs,0,0,0,0.059351277,0,0,0.088669951,0,0,0,0,0,0.111111111,0,0.010757681,0.011401123
426,Luol Deng,0,0,0,0,0,0.001408451,0.190710767,0,0,0,0.018934911,0.049866506,0.055555556,0,0.013265921,0.011378378
461,Bill Melchionni,0,0,0,0,0,0,0,0,0.170928668,0,0,0,0.111111111,0,0.010709675,0.011344684
462,Spud Webb,0,0,0,0,0,0,0,0,0.211305518,0,0,0,0,0,0.010670929,0.011304845
463,Clyde Lee,0,0,0,0,0,0,0,0.210888611,0,0,0,0,0,0,0.010649875,0.011282541
464,Al Smith,0,0,0,0,0,0,0,0,0.209959623,0,0,0,0,0,0.010602961,0.01123284
385,Kerry Kittles,0,0,0.023752969,0,0,0,0.126671358,0,0,0,0.171597633,0.00775127,0,0,0.015841241,0.01119497
466,George King,0,0,0,0,0,0,0.072484166,0,0.134589502,0,0,0,0,0,0.01045722,0.011078441
468,Elden Campbell,0,0,0,0,0,0.201408451,0,0,0,0,0,0,0,0,0.010171127,0.010775352
469,Kelvin Ransey,0,0,0,0,0,0,0,0,0.197846568,0,0,0,0,0,0.009991252,0.010584791
470,Ralph Simpson,0,0,0,0.075224293,0,0,0,0,0,0,0,0,0.222222222,0.142857143,0.009952864,0.010549344
471,Trooper Washington,0,0,0,0,0,0,0,0.195244055,0,0,0,0,0,0,0.009859825,0.010445557
474,Emeka Okafor,0,0,0,0,0,0,0,0.173967459,0,0.017969452,0,0,0,0,0.009444836,0.010354878
473,Larry Drew,0,0,0,0,0,0,0,0,0.191117093,0,0,0,0,0,0.009651413,0.010224764
