,Player,No. of Championships,mvp_count,WS/48,PPG,fmvp_count,MPG,RPG,APG,PER,BPM,VORP,No. of All Star Selections,All_NBA,SPG,BPG,Usg%,PTS,fmvp_pct,midpoint,scaled_cs,scaled_reg_mvp,scaled_per,scaled_ws,scaled_all_star,scaled_ppg,scaled_mpg,scaled_rpg,scaled_apg,scaled_fin_mvp,scaled_anba,scaled_pts,GOAT_SCORE
86,Bill Bridges,0.0,0.0,0.0,0.0,0.0,33.35,11.94,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1969.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.7281659388646289,0.5216251638269986,0.0,0.0,0.0,0.0,8.785388191292702
87,Terry Dischinger,0.0,0.0,0.1516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1968.0,0.0,0.0,0.0,0.6112903225806452,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.230463133640555
88,Elmore Smith,0.0,0.0,0.0,0.0,0.0,31.81,10.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,1975.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6945414847161573,0.4635211882918305,0.0,0.0,0.0,0.0,7.7474392824234375
89,K.C. Jones,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4521556256572029,0.0,0.0,0.0,7.723102953828506
90,Sam Lacey,0.0,0.0,0.0,0.0,0.0,31.81,9.67,0.0,0.0,2.36,25.89,1.0,0.0,1.31,1.52,0.0,0.0,0.0,1977.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.6945414847161573,0.42245522062035823,0.0,0.0,0.0,0.0,7.61413653012986
91,Jerry Sloan,0.0,0.0,0.0,0.0,0.0,34.11,7.44,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1971.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.744759825327511,0.3250327653997379,0.0,0.0,0.0,0.0,7.439769574822439
92,Bob Rule,0.0,0.0,0.0,17.39,0.0,0.0,8.27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1971.5,0.0,0.0,0.0,0.0,0.07142857142857142,0.578317259727303,0.0,0.3612931411096549,0.0,0.0,0.0,0.0,6.427422153027819
93,Kevin Porter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,1978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8475289169295479,0.0,0.0,0.0,5.669968454258675
94,Gene Shue,0.0,0.0,0.0,0.0,0.0,33.39,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1959.5,0.0,0.0,0.0,0.0,0.3571428571428571,0.0,0.7290393013100438,0.0,0.0,0.0,0.16666666666666666,0.0,5.642749116240383
95,Paul Silas,3.0,0.0,0.0,0.0,0.0,0.0,9.85,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.5,0.2727272727272727,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.4303189165574487,0.0,0.0,0.0,0.0,5.175197188132969
96,Dick McGuire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1955.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5993690851735016,0.0,0.08333333333333333,0.0,5.028945846477393
97,Jeff Mullins,0.0,0.0,0.0,16.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,13017.0,0.0,1970.5,0.0,0.0,0.0,0.0,0.21428571428571427,0.5384103757898238,0.0,0.0,0.0,0.0,0.0,0.4143034469588466,4.921146573750744
98,Dick Barnett,0.0,0.0,0.0,15.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15358.0,0.0,1967.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.5261057532424342,0.0,0.0,0.0,0.0,0.0,0.4888125019892422,4.71691106491722
